District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Sham Shui Po,"Wing Chun House, Wing Cheong Estate",,2228
Wong Tai Sin,"Lok Cheung House, Tsz Lok Estate",,2230
Yau Tsim Mong,"Tai Kung Building, Cosmopolitan Estates",,2231
Kowloon City,Ling Nam Building,,2233
Sha Tin,"Tower 2, Holford Gardens",,2236
Yau Tsim Mong,Royal Plaza Hotel,,2236
Wong Tai Sin,"Man Tai House, Tsz Man Estate",,2237
Yuen Long,"Block 4, Grandeur Terrance",,2238
Yau Tsim Mong,Diamond Building,,2240
Sha Tin,"Ming Yiu Lau, Jat Min Chuen",,2241
Sha Tin,"Block 2, Ravana Garden",,2242
Kowloon City,4 Lomond Road,,2243
Tai Po,"Block B2, The Horizon",,2244
Yau Tsim Mong,"Tai Kung Building, Cosmopolitan Estates",,2245
Kwai Tsing,"Ching Chung House, Cheung Ching Estate",,2247
Kwai Tsing,"Block 3, Lai King Disciplined Services Quarters",,2248
Yau Tsim Mong,"Tai Fong Building, Cosmopolitan Estates",,2249
Sha Tin,Kak Tin Village,,2250
Eastern,"Golden Maple Court, Full Wealth Gardens",,2253
Tuen Mun,San Hui Village,,2254
Sha Tin,"Mei Shek House, Shek Mun Estate",,2255
Yau Tsim Mong,"Kwong Fook Building, Canton Road",,2256
Wong Tai Sin,"Oi Cheung House, Tsz Oi Court",,2257
Wong Tai Sin,"Lok Wong House, Tsz Lok Estate",,2259
Yau Tsim Mong,"Tower 3, Carmen's Garden",,2260
Sha Tin,"Ming Yan Lau, Jat Min Chuen",,2262
Kwai Tsing,"Lok Kwai House, Kwai Fuk Court",,2264
Kwai Tsing,"Kwai Po Building, Lei Muk Road",,2265
Southern,"Pik Luk House, Shek Pai Wan Estat",,2266
Sha Tin,"Yan Hei House, Yan On Estate",,2267
Wan Chai,"Hennessy Apartments, Hennessy Road",,2268
Sham Shui Po,"Mei Ying Hosue, Shek Kip Mei Estate",,2269
Sham Shui Po,"Mei Leong House, Shek Kip Mei Estate",,2270
Wong Tai Sin,"Wang Yat House, Lok Fu Estate",,2272
Wong Tai Sin,"Lok Shing House, Tsz Lok Estate",,2273
Kwai Tsing,"Tower 12, Tierra Verde",,2274
Wong Tai Sin,"Hing Tung House, Tung Tau (II) Estate",,2275
Yau Tsim Mong,Pollock Building,,2276
Kowloon City,"Ka Bong Lau, Ka Wai Chuen",,2277
Wong Tai Sin,"Ching On House, Tsz Ching Estate",,2278
Wong Tai Sin,"Ching On House, Tsz Ching Estate",,2279
Tuen Mun,"Tin Lok House, Tin King Estate",,2280
Yau Tsim Mong,15-21 Lai Chi Kok Road,,2281
Sai Kung,"Choi Lam House, Tsui Lam Estate",,2282
Kwun Tong,"Sin Tat House, On Tat Estate",,2283
North,"Block A, Lung Fung Garden",,2284
Wong Tai Sin,"Lok On House, Tsz Lok Estate",,2285
Yuen Long,"Shin Oi House, Long Shin Estate",,2286
Yuen Long,"Shin Oi House, Long Shin Estate",,2287
Tuen Mun,"Shun Hei House, Siu Hei Court",,2288
Yuen Long,"Tse Uk Village, Kam Sheung Road",,2289
Kwai Tsing,"Hop Kwai House, Kwai Chung Estate",,2290
Sham Shui Po,Lai Chi Court,,2292
Sham Shui Po,Lai Chi Court,,2293
Kowloon City,"Tower 12A Phase 3, Laguna Verde",,2296
Kowloon City,"Tower 12A Phase 3, Laguna Verde",,2297
Eastern,"Golden Maple Court, Full Wealth Gardens",,2299
Kowloon City,"Tower 2B, Vibe Centro",,2300
Wong Tai Sin,"Oi Wah House, Tsz Oi Court",,2301
Sha Tin,"Yiu Wo House, Yiu On Estate",,2302
Wong Tai Sin,"Man Yue House, Tsz Man Estate",,2303
Sha Tin,"Ying Chuen House, Shui Chuen O Estate",,2304
Sha Tin,Ka Shun Court,,2306
Kwun Tong,Morning Light Building,,2308
Kwun Tong,"Ko Hong House, Ko Cheung Court",,2309
Sha Tin,Ka Shun Court,,2310
North,San Uk Ling Village,,2312
North,"Forum Court, Fanling Town Center",,2313
Tuen Mun,"Siu Fu House, Siu Kwai Court",,2316
Yuen Long,Tong Fong Tsuen,,2317
Tuen Mun,"Hing Tai House, Tai Hing Estate",,2319
Kwun Tong,"Choi King House, Choi Tak Estate",,2320
Wong Tai Sin,"Ching Ming House, Tsz Ching Estate",,2321
Kowloon City,Bayview,,2322
Kwai Tsing,Dorsett Tsuen Wan,,2324
Kowloon City,18 Whampao Street,,2327
Kwun Tong,"Choi Sin House, Choi Fook Estate",,2328
Sham Shui Po,Nan Bong House,,2329
Sai Kung,"Block 6, Fu Ning Garden",,2330
Kwai Tsing,"Ching Pak House, Cheung Ching Estate",,2332
Kowloon City,"Tower 5, Grand Waterfront",,2333
Tuen Mun,"King Wah House, Shan King Estate",,2334
Yuen Long,"Shin Oi House, Long Shin Estate",,2335
Kowloon City,"Tower 5, Grand Waterfront",,2337
Kowloon City,"Fook Wan Mansion, Chun Tin Street",,2338
Tai Po,Lung Mei Tsuen,,2339
Kwun Tong,"Him Tat House, On Tat Estate",,2340
Kwun Tong,"Lam Shek House, Ping Shek Estate",,2341
Sham Shui Po,"Tower 2, Heya Aqua",,2342
Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,2345
Eastern,"Chung Shu Lau, Phase III Healthy Village",,2347
Sha Tin,"Lai Chung House, Mei Chung Court",,2348
Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,2349
Kwai Tsing,"Lok Kwai House, Kwai Fuk Court",,2350
Tai Po,Dai Nam Building,,2351
Wan Chai,Tak Wah Mansion,,2352
Wan Chai,Tak Wah Mansion,,2353
Eastern,"Block A, Belleve Court",,2354
North,"Forum Court, Fanling Town Center",,2355
North,Wing Ling Tsuen,,2357
Sham Shui Po,"Hung Yu Mansion, Un Chau Street",,2358
Sai Kung,Tui Min Hoi Tsuen,,2359
Yau Tsim Mong,"Block 3, Carmen's Garden",,2360
Kwun Tong,Man Wo Garden Mansion,,2362
Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,2363
Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,2364
Sha Tin,"Yiu Ping House, Yiu On Estate",,2365
Kwun Tong,"Choi Yan House, Choi Tak Estate",,2369
Wong Tai Sin,"Sing San House, Choi Wan (1) Estate",,2370
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,2371
Tuen Mun,"Block 3, Chelsea Heights",,2374
Yau Tsim Mong,110 Fa Yuen Street,,2375
Kwun Tong,Yip Win Factory Building,,2376
Tuen Mun,"Block D, Rainbow Garden",,2377
Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,2378
Wong Tai Sin,"Sing San House, Choi Wan (I) Estate",,2379
Wong Tai Sin,"On Yan House, Tsz On Court",,2380
Tuen Mun,"Siu Cheong House, Siu Hong Court",,2381
Wan Chai,Tak Wah Mansion,,2382
Kwai Tsing,Dorsett Tsuen Wan,,2383
Eastern,"Chung Hing Mansion, Pan Hoi Street",,2386
Wan Chai,Top View Mansion,,2387
Kwai Tsing,"Sau Shan House, Cheung Shan Estate",,2388
Kwai Tsing,"Tung Tai House, Ching Tai Court",,2389
Sham Shui Po,43 Tai Po Road,,2390
Kwai Tsing,"Lok Kwai House, Kwai Fuk Court",,2391
Sha Tin,"Ming Yiu Lau, Jat Min Chuen",,2392
North,Tai Yuen Tsuen,,2393
Sai Kung,"Tower 6, Fu Ning Garden",,2396
Wong Tai Sin,"Man Yue House, Tsz Man Estate",,2397
Tuen Mun,"Yuet Tin House, Yan Tin Estate",,2398
Tuen Mun,Tai Lam Chung Tsuen,,2399
Tuen Mun,"Siu Kei House, Siu Hong Court",,2400
Sha Tin,"Heng Fung House, Heng On Estate",,2401
Wan Chai,32 Green Lane,,2402
Wan Chai,32 Green Lane,,2403
Sha Tin,"Wing Sam House, Lung Hang Estate",,2404
Sha Tin,"Wing Sam House, Lung Hang Estate",,2405
Wong Tai Sin,"Wang Yat House, Lok Fu Estate",,2406
Yau Tsim Mong,"Block B, Pak On Building",,2409
Kwai Tsing,IPLACE,,2410
Wong Tai Sin,"Lok Tin House, Tsz Lok Estate",,2411
Wan Chai,Empire Hotel,,2411
Sai Kung,"Block 4, Verbena Heights",,2412
Kwun Tong,"Kwai Sun House, Lower Ngau Tau Kok Estate",,2413
Sha Tin,Kak Tin Village Kung Miu,,2414
Yau Tsim Mong,Yau Woo Building,,2416
Sai Kung,"Yan Lam House, Tsui Lam Estate",,2417
Sham Shui Po,"Tower 29, Parc Oasis",,2418
Sham Shui Po,"Tower 29, Parc Oasis",,2419
Kwai Tsing,"On Kong House, Cheung On Estate",,2420
Tuen Mun,"Oi Shun House, Yau Oi Estate",,2421
Wong Tai Sin,"Lung Cheung House, Lower Wong Tai Sin Estate",,2423
Yau Tsim Mong,"Tower 5, Central Park",,2424
Kwun Tong,"Mei Tong House, Yau Tong Estate",,2425
Wan Chai,32 Green Lane,,2426
Eastern,"Block 1, Heng Fa Chuen",,2427
North,Tai Yuen Tsuen,,2429
Sha Tin,"Kam Mei House, Kam Fung Court",,2430
Sham Shui Po,"Yee Hong House, Yee Kok Court",,2431
Wong Tai Sin,Ngau Chi Wan West Village,,2432
Sha Tin,"Hin Hing House, Hin Keng Estate",,2433
Kowloon City,Wong Teck Building,,2434
Tuen Mun,"Oi Ming House, Yau Oi Estate",,2435
Tuen Mun,"Block 7, Hanford Garden",,2436
Wong Tai Sin,"Cheung Yuen House, Chuk Yuen North Estate",,2437
Wong Tai Sin,"Wang Yat House, Lok Fu Estate",,2438
Kowloon City,122 Nga Tsin Wai Road,,2439
Kwun Tong,"Sau Wai House, Sau Mau Ping Estate",,2440
Sham Shui Po,"Un On Building, 128 Camp Street",,2441
Kwai Tsing,"King Fat House, Cheung Fat Estate",,2442
Tsuen Wan,"Shek Lin House, Shek Wai Kok Estate",,2443
Yau Tsim Mong,Kwok Keung Building,,2444
